center,left,right,steering,throttle,brake,speed
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_51_866.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_51_866.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_51_866.jpg,0,0,0,7.85E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_52_040.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_52_040.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_52_040.jpg,0,0,0,7.89E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_52_164.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_52_164.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_52_164.jpg,0,0,0,7.96E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_52_316.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_52_316.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_52_316.jpg,0,0,0,7.96E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_52_429.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_52_429.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_52_429.jpg,0,0,0,8.28E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_52_578.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_52_578.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_52_578.jpg,0,0,0,7.81E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_52_691.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_52_691.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_52_691.jpg,0,0,0,7.78E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_52_842.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_52_842.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_52_842.jpg,0,0,0,7.93E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_52_962.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_52_962.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_52_962.jpg,0,0,0,7.80E-05
C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\center_2025_07_28_20_28_53_121.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\left_2025_07_28_20_28_53_121.jpg, C:\Users\CHANDU\Downloads\simulator-windows-64\Records1\IMG\right_2025_07_28_20_28_53_121.jpg,0,0,0,7.94E-05
